web-scraper-order,web-scraper-start-url,Pagination,product_link,product_link-href,name,min_price,size_options
"1704751182-1","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=1","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=8","Pastel Art, Mint Green Wall Art, Mint Green Art, Watercolor Art, Light Green Abstract Art, Seafoam Green, Pastel Abstract Art, Printable Art
            
                
                        


                
    
    
    

        

                
                    (1,170)
                
                

                
                        


                
                    $6.00
                

                        
                        
                            
                        
                    
              a d vertisement by Etsy seller
              Advertisement from Etsy seller
              LittleValleyStudio
              From shop LittleValleyStudio
        
            
            
                
        
  

    
        Digital Download
    

            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/499874000/pastel-art-mint-green-wall-art-mint?click_key=408a8f15a94c3d0ef42cbe8b5edde88da92a46d4%3A499874000&click_sum=9cec55c5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-740114-8-48&etp=1&dd=1","Pastel Art, Mint Green Wall Art, Mint Green Art, Watercolor Art, Light Green Abstract Art, Seafoam Green, Pastel Abstract Art, Printable Art","Price:
        $6.00","[]"
"1704751185-2","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=1","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=8","San Francisco Print, Golden Gate Bridge Wall Art, Bokeh photography, Nursery Decor, City Lights, Architecture Photo, California
            
                
                        


                
    
    
    

        

                
                    (1,525)
                
                
        
  

    Star Seller


                
                        


                
                    $18.00
                

                        
                        
                            
                        
                    
              a d vertisement by Etsy seller
              Advertisement from Etsy seller
              MyanSoffia
              From shop MyanSoffia
        
            
            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/186233847/san-francisco-print-golden-gate-bridge?click_key=bb9ef820489049a8ab35f6f7973edef9f8f96a94%3A186233847&click_sum=ec3f998e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-740114-8-47&etp=1&sts=1","San Francisco Print, Golden Gate Bridge Wall Art, Bokeh photography, Nursery Decor, City Lights, Architecture Photo, California","Price:
        $18.00+","[{""size_options"":""Select an option\n                \n                \n                        5x7 ($18.00)\n                \n                \n                        8x10 ($36.00)\n                \n                \n                        11x14 ($56.00)\n                \n                \n                        12x16 ($71.00)\n                \n                \n                        16x20 ($102.00)\n                \n                \n                        20x24 ($128.00)\n                \n                \n                        20x30 ($138.00)\n                \n                \n                        24x30 ($153.00)\n                \n                \n                        24x36 ($163.00)""}]"
"1704751188-3","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=1","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=8","Set 4 Coral Prints Mist Blue/Green, Nautical print nautical Poster coral art Wall Art Wall Decor Wall Hanging beach house bathroom poster
            
                
                        


                
    
    
    

        

                
                    (664)
                
                

                
                        


                
                    $82.00
                

                        
                        
                            
                        
                    
              a d vertisement by Etsy seller
              Advertisement from Etsy seller
              NauticalNell
              From shop NauticalNell
        
            
    
            
    FREE shipping

    

            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/155031264/set-4-coral-prints-mist-bluegreen?click_key=f1344b1d23d09c92d8be3f144b1d8df79ed19f48%3A155031264&click_sum=b700e2d1&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-740114-8-46&frs=1&etp=1","Set 4 Coral Prints Mist Blue/Green, Nautical print nautical Poster coral art Wall Art Wall Decor Wall Hanging beach house bathroom poster","Price:
        $82.00+","[{""size_options"":""Select a size\n                \n                \n                        Print Only 5x7 inches ($82.00)\n                \n                \n                        Print Only 8x10 inches ($128.00)\n                \n                \n                        Print Only 14x11 inches ($178.00)\n                \n                \n                        Print Only 16x20 inches ($336.00)\n                \n                \n                        Print only 18x24 inches ($448.00)\n                \n                \n                        Print Only 24x36 inches ($564.00)\n                \n                \n                        Black Frame 16x20 inches ($628.00)\n                \n                \n                        White Frame 16x20 inches ($628.00)\n                \n                \n                        Canvas Wrap 11x14 inches ($468.00)\n                \n                \n                        Canvas Wrap 18x24 inches ($628.00)\n                \n                \n                        Canvas Wrap 28x40 inches ($1,044.00)""}]"
"1704751191-4","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=1","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=8","Whale nursery art. Whale Rider print
            
                
                        


                
    
    
    

        

                
                    (1,865)
                
                
        
  

    Star Seller


                
                        


                
                    $20.00
                

                        
                        
                            
                        
                    
              a d vertisement by Etsy seller
              Advertisement from Etsy seller
              sloeginfizz
              From shop sloeginfizz
        
            
            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/102066103/whale-nursery-art-whale-rider-print?click_key=62b6c1124d2f2042a5cc156fd5e9ddd1edb6dacd%3A102066103&click_sum=64f1d013&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-740114-8-45&etp=1&sts=1","Whale nursery art. Whale Rider print","Price:
        $20.00+","[{""size_options"":""Select a size\n                \n                \n                        11x14 inches ($40.00)\n                \n                \n                        8x10 inches ($30.00)\n                \n                \n                        5x7 inches ($20.00)""}]"
"1704751197-5","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=1","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=8","Valentine's Day Copper Rose / Seventh Anniversary / Hand Forged Gift for Wife / Metal Flower for Her / Handmade Flower / 7th engagement gift
            
                
                        


                
    
    
    

        

                
                    (984)
                
                

                
                        


                
                    $160.00
                

                        
                        
                            
                        
                    
              a d vertisement by Etsy seller
              Advertisement from Etsy seller
              PoconoMountainsForge
              From shop PoconoMountainsForge
        
            
            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/295080923/valentines-day-copper-rose-seventh?click_key=7e0e49f7a9a9f6269da9e81ffebaae809c149f3c%3A295080923&click_sum=90ee306a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-740114-8-44&etp=1","Valentine's Day Copper Rose / Seventh Anniversary / Hand Forged Gift for Wife / Metal Flower for Her / Handmade Flower / 7th engagement gift","Price:
        $160.00+","[{""size_options"":""Select an option\n                \n                \n                        With Stamping ($170.00)\n                \n                \n                        Without Stamping ($160.00)""}]"
"1704751213-6","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=1","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=8","home sweet home pears / Three handmade decorative inspirational message clay pears / vintage white, Birthday Mom Grandma best friend gift
            
                
                        


                
    
    
    

        

                
                    (5,906)
                
                

                
                        


                
                    $28.00
                

                        
                        
                            
                        
                    
              a d vertisement by Etsy seller
              Advertisement from Etsy seller
              SkyeArt
              From shop SkyeArt
        
            
            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/102593479/home-sweet-home-pears-three-handmade?click_key=ba1dd63980852868446b83fcf811e14235b87ee9%3A102593479&click_sum=71c74751&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-740114-8-43&etp=1","home sweet home pears / Three handmade decorative inspirational message clay pears / vintage white, Birthday Mom Grandma best friend gift","Price:
        $28.00","[]"
"1704751226-7","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=1","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=8","Cactus Wall Art, Succulent Print, Cactus Prints, Potted Succulents, Wall Art Prints
            
                
                        


                
    
    
    

        

                
                    (459)
                
                

                
                        


                
                    $8.25
                

                        
                        
                            
                        
                    
              a d vertisement by Etsy seller
              Advertisement from Etsy seller
              YoYoStudio
              From shop YoYoStudio
        
            
            
                
        
  

    
        Digital Download
    

            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/385807444/cactus-wall-art-succulent-print-cactus?click_key=41b8c1c25a8cd965a80999f83ec2b2dc9d511fab%3A385807444&click_sum=8f39ebc7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-740114-8-42&etp=1&dd=1","Cactus Wall Art, Succulent Print, Cactus Prints, Potted Succulents, Wall Art Prints","Price:
        $8.25","[]"
"1704751239-8","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=1","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=8","Osaka poster by Docteur Paper
            
                
                        


                
    
    
    

        

                
                    (421)
                
                
        
  

    Star Seller


                
                        


                
                    $33.23
                

                        
                        
                            
                        
                    
              a d vertisement by Etsy seller
              Advertisement from Etsy seller
              DocteurPaper
              From shop DocteurPaper
        
            
            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/285394191/osaka-poster-by-docteur-paper?click_key=9d227e9714647b1a15f53668a07e934787aa9b23%3A285394191&click_sum=32c4e424&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-740114-8-41&etp=1&sts=1","Osaka poster by Docteur Paper","Price:
        $33.23+","[{""size_options"":""Select an option\n                \n                \n                        Size 21x29.7cm ($33.23)\n                \n                \n                        Size 32x45cm ($44.68)\n                \n                \n                        Size 50x70cm ($91.66)\n                \n                \n                        Size 70x100cm ($126.03)""}]"
"1704751257-9","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=1","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=8","Signpost for Fairy Gardens OOAK handmade
            
                
                        


                
    
    
    

        

                
                    (621)
                
                
        
  

    Star Seller


                
                        


                
                    $28.00
                

                        
                        
                            
                        
                    
              a d vertisement by Etsy seller
              Advertisement from Etsy seller
              WeeBrigadoon
              From shop WeeBrigadoon
        
            
    
            
    FREE shipping

    

            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/104239794/signpost-for-fairy-gardens-ooak-handmade?click_key=5a12fecf95eb8844eb5466eccb99390957112c7c%3A104239794&click_sum=6709e1b2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-740114-8-40&frs=1&etp=1&sts=1","Signpost for Fairy Gardens OOAK handmade","Price:
        $28.00+","[{""size_options"":""Select an option\n                \n                \n                        8 signs ($28.00)\n                \n                \n                        9 signs ($29.00)\n                \n                \n                        10 signs ($31.00)\n                \n                \n                        11 signs ($32.00)\n                \n                \n                        12 signs ($33.00)\n                \n                \n                        Custom ($36.00)""}]"
"1704751265-10","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=1","https://www.etsy.com/c/art-and-collectibles?ref=pagination&page=8","Moon Phases Print Wall Art Blue Wall Decor, Abstract Full Moon Art Print, New Crescent Luna Solar System Astrology Picture Home Decor
            
                
                        


                
    
    
    

        

                
                    (6,534)
                
                
        
  

    Star Seller


                
                        


                    
                        
                            Sale Price $38.25
                        
                        
                            $38.25
                        
                        
                            $45.00
                            
                                Original Price $45.00
                            
                            
                                
                                (15% off)
                                
                            
                        


                        
                        
                            
                        
                    
              a d vertisement by Etsy seller
              Advertisement from Etsy seller
              Elfencode
              From shop Elfencode
        
            
    
            
    FREE shipping","https://www.etsy.com/listing/271019275/moon-phases-print-wall-art-blue-wall?click_key=8a3f112f3103c301e78f7dd6fa5b6ec1cf87d054%3A271019275&click_sum=dc39aaf1&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-740114-8-39&pro=1&frs=1&sts=1","Moon Phases Print Wall Art Blue Wall Decor, Abstract Full Moon Art Print, New Crescent Luna Solar System Astrology Picture Home Decor","Price:
        $38.25+","[{""size_options"":""Select dimensions\n                \n                \n                        5x7 inches -- 12.7 x 17.8 cm ($38.25)\n                \n                \n                        8x10 inches -- 20.3 x 25.4 cm ($52.70)\n                \n                \n                        8x11 inches -- (A4 size) 21  x 29.7 cm ($52.70)\n                \n                \n                        11x14 inches -- 28 x 35.5 cm ($57.80)\n                \n                \n                        11x16 inches -- (A3 size) 29.7 x 42 cm ($57.80)\n                \n                \n                        12x16 inches — 30.5 x 40.6 cm ($68.85)\n                \n                \n                        12x18 inches — 30.5 x 45.7 cm ($68.85)\n                \n                \n                        13x19 inches -- (B3 size) 35.3 x 50 cm ($69.70)\n                \n                \n                        16x20 inches — 40.6 x 50.8 cm ($73.10)\n                \n                \n                        16x23 inches -- (A2 size) 42 x 59.4 cm ($73.10)\n                \n                \n                        18x24 inches -- 45.7 x 61 cm ($78.20)\n                \n                \n                        20x24 inches -- 50.8 x 61 cm ($87.55)\n                \n                \n                        19x27 inches -- (B2 size) 50 x 70 cm ($87.55)\n                \n                \n                        20x30 inches -- 50.8 x 76 cm ($102.00)\n                \n                \n                        23x33 inches -- (A1 size) 59.4 x 84 cm ($108.80)\n                \n                \n                        24x36 inches -- 61 x 91.5 cm ($119.00)\n                \n                \n                        10x10 inches -- 25.4 x 25.4 cm ($52.70)\n                \n                \n                        12x12 inches -- 30.5 x 30.5 cm ($57.80)\n                \n                \n                        16x16 inches -- 40.6 x 40.6 cm ($67.15)\n                \n                \n                        20x20 inches -- 50.8 x 50.8 cm ($76.50)\n                \n                \n                        24x24 inches -- 61 x 61 cm ($100.30)""}]"
