web-scraper-order,web-scraper-start-url,product,product-href,name,price,reviews_product,reviews_shop,shop_star_rating
"1703616293-1","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","My Home is the Sea . giclee art print
            
                
                        


                
    
    
    

        

                
                    (9,854)
                
                

                
                        


                
                    $35.00
                

                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              ClareElsaesser
              From shop ClareElsaesser
        
            
    
            
    FREE shipping

    

            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/72926830/my-home-is-the-sea-giclee-art-print?click_key=0e0fe8e37f7bdf08be23b80f76032a15ed7d31bb%3A72926830&click_sum=c0f014a0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-48&frs=1&etp=1","My Home is the Sea . giclee art print","Price:
        $35.00+","107","9,854","5 out of 5 stars"
"1703616296-2","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Giclée art print of Abstract painting signed by artist, pink, abstract prints, cloud landscape print, Wall Art prints, art gift, artwork,
            
                
                        


                
    
    
    

        

                
                    (1,050)
                
                
        
  

    Star Seller


                
                        


                    
                        
                            Sale Price $48.45
                        
                        
                            
                                $48.45
                        
                        
                            $57.00
                            
                                Original Price $57.00
                            
                            
                                
                                (15% off)
                                
                            
                        


                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              yangprints
              From shop yangprints
        
            
    
            
    FREE shipping","https://www.etsy.com/listing/157475413/giclee-art-print-of-abstract-painting?click_key=1bb55be17d061fac64c3c3aaf0caaf86194299a5%3A157475413&click_sum=fa625cf7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-47&pro=1&frs=1&sts=1","Giclée art print of Abstract painting signed by artist, pink, abstract prints, cloud landscape print, Wall Art prints, art gift, artwork,","Price:
        $48.45+","48","1,050","5 out of 5 stars"
"1703616298-3","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Trout Watercolor Art Print. Blue & Green Watercolor Fish Art Painting. Pond Life Nature Decor. Fisherman Dad Wall Art. Trout Illustration.
            
                
                        


                
    
    
    

        

                
                    (2,781)
                
                

                
                        


                
                    $18.00
                

                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              SnoogsAndWilde
              From shop SnoogsAndWilde
        
            
    
            
    FREE shipping

    

            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/126166579/trout-watercolor-art-print-blue-green?click_key=26c05bf10091b7d2a303b63a09334db0522056be%3A126166579&click_sum=31e02e10&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-46&frs=1&etp=1","Trout Watercolor Art Print. Blue & Green Watercolor Fish Art Painting. Pond Life Nature Decor. Fisherman Dad Wall Art. Trout Illustration.","Price:
        $18.00+","17","2,781","5 out of 5 stars"
"1703616302-4","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Tree rings Print, Three Panel Wall Art, Woodcut print, Lumber, Tree of Life, Sacred Geometry, Live Edge, Shabby Tree, Each 24x36 inches
            
                
                        


                
    
    
    

        

                
                    (2,917)
                
                

                
                        


                    
                        
                            Sale Price $209.60
                        
                        
                            
                                $209.60
                        
                        
                            $262.00
                            
                                Original Price $262.00
                            
                            
                                
                                (20% off)
                                
                            
                        


                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              LintonArt
              From shop LintonArt
        
            
    
            
    FREE shipping","https://www.etsy.com/listing/536496958/tree-rings-print-three-panel-wall-art?click_key=b74247c6253eea2a8493eabc49b93193c8880814%3A536496958&click_sum=6e89aca1&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-45&pro=1&frs=1","Tree rings Print, Three Panel Wall Art, Woodcut print, Lumber, Tree of Life, Sacred Geometry, Live Edge, Shabby Tree, Each 24x36 inches","Price:
        $209.60","240","2,917","5 out of 5 stars"
"1703616305-5","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Christmas pysanka Goose egg, Ukrainian Easter pysanky eggs hand painted egg ornament on real goose eggshell, batik art egg Easter gift mom
            
                
                        


                
    
    
    

        

                
                    (2,677)
                
                
        
  

    Star Seller


                
                        


                
                    $150.00
                

                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              UkrainianEasterEggs
              From shop UkrainianEasterEggs
        
            
            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/76168579/christmas-pysanka-goose-egg-ukrainian?click_key=3a5ea289d4a979c716dec63377ca04682dc0a08f%3A76168579&click_sum=684292fc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-44&etp=1&sts=1","Christmas pysanka Goose egg, Ukrainian Easter pysanky eggs hand painted egg ornament on real goose eggshell, batik art egg Easter gift mom","Price:
        $150.00+","","","5 out of 5 stars"
"1703616308-6","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Saddle Leaf Philodendron Print -  Watercolor Leaf Archival Print - Archival Paper or Canvas
            
                
                        


                
    
    
    

        

                
                    (1,062)
                
                

                
                        


                
                    $16.00
                

                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              LunaReef
              From shop LunaReef
        
            
            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/265135995/saddle-leaf-philodendron-print?click_key=ce7d82203f01fd6fa23d9a177a64cced1d965d44%3A265135995&click_sum=181ad02a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-43&etp=1","Saddle Leaf Philodendron Print -  Watercolor Leaf Archival Print - Archival Paper or Canvas","Price:
        $16.00+","","","4.5 out of 5 stars"
"1703616311-7","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Charcoal Portrait Charcoal sketch from Photo Fine Art CUSTOM Portrait Personalized portrait Art From Picture Photo Drawing
            
                
                        


                
    
    
    

        

                
                    (315)
                
                
        
  

    Star Seller


                
                        


                    
                        
                            Sale Price $73.31
                        
                        
                            
                                $73.31
                        
                        
                            $97.75
                            
                                Original Price $97.75
                            
                            
                                
                                (25% off)
                                
                            
                        


                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              OliFineArt
              From shop OliFineArt
        
            
    
            
    FREE shipping","https://www.etsy.com/listing/226593553/charcoal-portrait-charcoal-sketch-from?click_key=de0cb362e1d022e7c651bea1326c87811b5cfb23%3A226593553&click_sum=3fde9b5d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-42&pro=1&frs=1&sts=1","Charcoal Portrait Charcoal sketch from Photo Fine Art CUSTOM Portrait Personalized portrait Art From Picture Photo Drawing","Price:
        $73.31+","41","315","5 out of 5 stars"
"1703616314-8","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Utah, Albion Basin, 100 year old tree, Tree ring art print, Old Growth, Handmade print, 100 year old pine, woodcut print
            
                
                        


                
    
    
    

        

                
                    (2,917)
                
                

                
                        


                    
                        
                            Sale Price $48.00
                        
                        
                            
                                $48.00
                        
                        
                            $60.00
                            
                                Original Price $60.00
                            
                            
                                
                                (20% off)
                                
                            
                        


                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              LintonArt
              From shop LintonArt
        
            
    
            
    FREE shipping","https://www.etsy.com/listing/160165990/utah-albion-basin-100-year-old-tree-tree?click_key=e07a7540c059696a0bfea15b6fd2e54a13615023%3A160165990&click_sum=19ae7199&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-41&pro=1&frs=1","Utah, Albion Basin, 100 year old tree, Tree ring art print, Old Growth, Handmade print, 100 year old pine, woodcut print","Price:
        $48.00","157","2,917","5 out of 5 stars"
"1703616317-9","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Married to the Sea . giclee art print available in all sizes
            
                
                        


                
    
    
    

        

                
                    (9,854)
                
                

                
                        


                
                    $35.00
                

                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              ClareElsaesser
              From shop ClareElsaesser
        
            
    
            
    FREE shipping

    

            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/73982301/married-to-the-sea-giclee-art-print?click_key=860d2b854081e1ead2be89f97369257c63cd177d%3A73982301&click_sum=bf9a8d47&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-40&frs=1&etp=1","Married to the Sea . giclee art print available in all sizes","Price:
        $35.00+","310","9,854","5 out of 5 stars"
"1703616321-10","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Married to the Sea . giclee art print
            
                
                        


                
    
    
    

        

                
                    (9,854)
                
                

                
                        


                
                    $35.00
                

                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              ClareElsaesser
              From shop ClareElsaesser
        
            
    
            
    FREE shipping

    

            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/83383628/married-to-the-sea-giclee-art-print?click_key=3500751020c25287f276cd0018adcc7506f4e9d7%3A83383628&click_sum=e99d6830&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-39&frs=1&etp=1","Married to the Sea . giclee art print","Price:
        $35.00+","519","9,854","5 out of 5 stars"
