name,min_price,prices,sizes,inches,Art,Print,Wall,art,Decor,print,Gift,Printable,Poster,Abstract,wall,decor,Watercolor,of,Nursery,Digital,Prints,Large,Modern,Download
"Pastel Art, Mint Green Wall Art, Mint Green Art, Watercolor Art, Light Green Abstract Art, Seafoam Green, Pastel Abstract Art, Printable Art",6.0,,,,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"San Francisco Print, Golden Gate Bridge Wall Art, Bokeh photography, Nursery Decor, City Lights, Architecture Photo, California",18.0,"['18.00', '36.00', '56.00', '71.00', '102.00', '128.00', '138.00', '153.00', '163.00']","[('5', '7'), ('8', '10'), ('11', '14'), ('12', '16'), ('16', '20'), ('20', '24'), ('20', '30'), ('24', '30'), ('24', '36')]",1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Set 4 Coral Prints Mist Blue/Green, Nautical print nautical Poster coral art Wall Art Wall Decor Wall Hanging beach house bathroom poster",82.0,"['82.00', '128.00', '178.00', '336.00', '448.00', '564.00', '628.00', '628.00', '468.00', '628.00', '1,044.00']","[('5', '7'), ('8', '10'), ('14', '11'), ('16', '20'), ('18', '24'), ('24', '36'), ('16', '20'), ('16', '20'), ('11', '14'), ('18', '24'), ('28', '40')]",1.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Whale nursery art. Whale Rider print,20.0,"['40.00', '30.00', '20.00']","[('11', '14'), ('8', '10'), ('5', '7')]",1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentine's Day Copper Rose / Seventh Anniversary / Hand Forged Gift for Wife / Metal Flower for Her / Handmade Flower / 7th engagement gift,160.0,"['170.00', '160.00']",,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"home sweet home pears / Three handmade decorative inspirational message clay pears / vintage white, Birthday Mom Grandma best friend gift",28.0,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cactus Wall Art, Succulent Print, Cactus Prints, Potted Succulents, Wall Art Prints",8.25,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Osaka poster by Docteur Paper,33.23,"['33.23', '44.68', '91.66', '126.03']","[('32', '45'), ('50', '70'), ('70', '100')]",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signpost for Fairy Gardens OOAK handmade,28.0,"['28.00', '29.00', '31.00', '32.00', '33.00', '36.00']",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moon Phases Print Wall Art Blue Wall Decor, Abstract Full Moon Art Print, New Crescent Luna Solar System Astrology Picture Home Decor",38.25,"['38.25', '52.70', '52.70', '57.80', '57.80', '68.85', '68.85', '69.70', '73.10', '73.10', '78.20', '87.55', '87.55', '102.00', '108.80', '119.00', '52.70', '57.80', '67.15', '76.50', '100.30']","[('5', '7'), ('8', '10'), ('8', '11'), ('11', '14'), ('11', '16'), ('12', '16'), ('12', '18'), ('13', '19'), ('16', '20'), ('16', '23'), ('18', '24'), ('20', '24'), ('19', '27'), ('20', '30'), ('23', '33'), ('24', '36'), ('10', '10'), ('12', '12'), ('16', '16'), ('20', '20'), ('24', '24')]",1.0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Octopus Print / Vintage Octopus Print / Nautical Print / Vintage Nautical Print / Octopus Wall Art,7.98,"['7.98', '9.31', '9.98', '13.30', '15.96', '16.63', '9.98', '16.63', '23.28']","[('6', '4'), ('7', '5'), ('8', '6'), ('10', '8'), ('12', '8'), ('14', '11')]",1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brown Wall Art Collage, Earth Tone Giclee Print of Original Artwork, Large Unique Abstract Art",105.0,"['105.00', '133.00', '170.00', '245.00', '275.00', '300.00', '510.00']","[('16', '20'), ('18', '24'), ('24', '36'), ('30', '40'), ('40', '60')]",1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
